Group,Group,Product,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,Total
Beverages,Beverages,BOISSON 33CL,0.287,0.363,0.356,0.457,0.446,0.551,0.597,0.554,0.547,0.362,0.406,0.325,0.327,0.474,0.574,0.474,0.476,0.509,0.552,0.571,0.551,0.49
Beverages,Beverages,CAFE OU EAU,0.713,0.618,0.644,0.538,0.544,0.449,0.403,0.446,0.448,0.638,0.588,0.675,0.673,0.526,0.426,0.526,0.524,0.491,0.448,0.429,0.449,0.509
Beverages,Beverages,THE,0.0,0.02,0.0,0.005,0.01,0.0,0.0,0.0,0.005,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Breads,Breads,BAGUETTE,0.429,0.41,0.4,0.398,0.397,0.407,0.367,0.402,0.413,0.406,0.42,0.414,0.42,0.405,0.384,0.393,0.389,0.406,0.382,0.353,0.374,0.394
Breads,Breads,BANETTE,0.375,0.36,0.388,0.417,0.419,0.386,0.459,0.439,0.396,0.393,0.396,0.383,0.379,0.378,0.401,0.401,0.405,0.374,0.41,0.436,0.388,0.406
Breads,Breads,BANETTINE,0.065,0.063,0.062,0.06,0.05,0.058,0.036,0.036,0.055,0.054,0.065,0.067,0.069,0.063,0.069,0.066,0.057,0.059,0.05,0.053,0.066,0.055
Breads,Breads,BOULE 200G,0.045,0.062,0.057,0.043,0.05,0.068,0.048,0.047,0.051,0.053,0.047,0.036,0.054,0.05,0.052,0.053,0.05,0.064,0.065,0.068,0.084,0.055
Breads,Breads,BOULE 400G,0.084,0.098,0.092,0.082,0.082,0.081,0.089,0.076,0.084,0.094,0.071,0.099,0.073,0.101,0.085,0.079,0.094,0.089,0.089,0.088,0.084,0.086
Breads,Breads,DEMI PAIN,0.002,0.007,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.002,0.001,0.005,0.003,0.009,0.009,0.006,0.009,0.003,0.002,0.004,0.003
Pastries,Pastries,ECLAIR,0.552,0.587,0.531,0.598,0.553,0.543,0.598,0.53,0.505,0.504,0.511,0.553,0.665,0.635,0.556,0.607,0.55,0.599,0.527,0.481,0.486,0.55
Pastries,Pastries,MILLES FEUILLES,0.086,0.153,0.178,0.165,0.141,0.24,0.13,0.184,0.214,0.178,0.133,0.122,0.09,0.071,0.141,0.109,0.083,0.097,0.177,0.229,0.218,0.158
Pastries,Pastries,PARIS BREST,0.293,0.157,0.21,0.165,0.18,0.163,0.18,0.175,0.172,0.186,0.284,0.261,0.204,0.202,0.212,0.188,0.208,0.186,0.171,0.181,0.218,0.192
Pastries,Pastries,TARTE FRUITS 4P,0.034,0.058,0.047,0.035,0.066,0.03,0.04,0.054,0.063,0.076,0.047,0.048,0.024,0.056,0.054,0.056,0.093,0.08,0.075,0.076,0.048,0.057
Pastries,Pastries,TARTE FRUITS 6P,0.034,0.045,0.035,0.037,0.059,0.023,0.052,0.057,0.046,0.055,0.025,0.016,0.018,0.036,0.037,0.04,0.066,0.038,0.05,0.034,0.031,0.043
Seasonal/Holiday Items,Seasonal/Holiday Items,BUCHE 4PERS,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
Seasonal/Holiday Items,Seasonal/Holiday Items,BUCHE 6PERS,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Seasonal/Holiday Items,Seasonal/Holiday Items,BUCHE 8PERS,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
Seasonal/Holiday Items,Seasonal/Holiday Items,FRAISIER,,,0.0,0.624,0.497,0.404,0.459,0.34,0.0,0.053,0.0,0.049,0.0,0.0,0.255,0.543,0.599,0.571,0.285,0.358,0.0,0.394
Seasonal/Holiday Items,Seasonal/Holiday Items,TARTE FINE,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.171,0.0,0.242,0.255,0.147,0.095,0.0,0.033,0.0,0.0,0.043
Seasonal/Holiday Items,Seasonal/Holiday Items,TARTE FRAISE 4PER,,,0.071,0.113,0.161,0.211,0.141,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.102,0.143,0.163,0.106,0.0,0.11
Seasonal/Holiday Items,Seasonal/Holiday Items,TARTE FRAISE 6P,,,0.036,0.075,0.101,0.138,0.074,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.073,0.091,0.179,0.093,0.125,0.08
Seasonal/Holiday Items,Seasonal/Holiday Items,TROPEZIENNE,,,0.429,0.075,0.235,0.248,0.326,0.45,1.0,0.921,0.923,0.268,1.0,0.758,0.491,0.19,0.131,0.169,0.333,0.444,0.875,0.338
Seasonal/Holiday Items,Seasonal/Holiday Items,TROPEZIENNE FRAMBOISE,,,0.464,0.113,0.007,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.008,0.0,0.0,0.022
Viennoiseries,Viennoiseries,CHAUSSON AUX POMMES,0.069,0.069,0.06,0.072,0.063,0.075,0.06,0.061,0.07,0.082,0.077,0.068,0.042,0.076,0.071,0.051,0.066,0.068,0.055,0.057,0.076,0.065
Viennoiseries,Viennoiseries,PAIN AU CHOCOLAT,0.829,0.838,0.832,0.823,0.85,0.804,0.846,0.859,0.824,0.808,0.832,0.836,0.87,0.843,0.847,0.859,0.85,0.85,0.867,0.861,0.827,0.844
Viennoiseries,Viennoiseries,PAIN AUX RAISINS,0.101,0.093,0.108,0.105,0.086,0.121,0.093,0.081,0.106,0.11,0.091,0.096,0.088,0.081,0.083,0.09,0.084,0.082,0.078,0.082,0.097,0.091
